,count,accidents,Latitude,Longitude,num_accidents_fatalities,State,County,City,fatalities_ratio
4285,8,"{34832, 152592, 152594, 152593, 152595, 182547, 192407, 86971}",41.146903124999994,-96.17724762499999,0.0,Nebraska,Sarpy,Gretna,0.0
4286,8,"{218529, 79843, 87114, 197485, 206160, 217556, 87322, 204478}",40.693866875,-73.99912950000001,0.0,New York,Kings,Brooklyn,0.0
4287,8,"{142434, 44806, 75467, 105900, 128684, 123153, 142419, 123157}",37.570038000000004,-77.4795465,0.0,Virginia,Henrico,Richmond,0.0
4288,8,"{146208, 151617, 161376, 154051, 145511, 155888, 163062, 119705}",43.1792,-77.65952499999999,0.0,New York,Monroe,Rochester,0.0
4289,8,"{81442, 66659, 79715, 101893, 108806, 64904, 110122, 78387}",27.450982,-82.5304195,0.0,Florida,Manatee,Bradenton,0.0
4290,8,"{218406, 179688, 179465, 64970, 180529, 134233, 177181, 144990}",37.690380000000005,-122.1074735,0.0,California,Alameda,San Leandro,0.0
4291,8,"{152352, 155923, 155924, 97271, 55962, 66267, 103645, 152350}",38.818384124999994,-77.52668137500001,0.0,Virginia,Prince William,Manassas,0.0
4292,12,"{123136, 90817, 139328, 42723, 42724, 121859, 36457, 109673, 78156, 146383, 83924, 40153}",40.02816783333333,-75.62820633333332,0.0,Pennsylvania,Chester,Exton,0.0
4293,8,"{55940, 145541, 145552, 145524, 145525, 145533, 145534, 145535}",38.83853,-77.2513175,0.0,Virginia,Fairfax County,Fairfax,0.0
4294,8,"{124672, 211269, 34631, 36330, 36331, 136302, 10076, 204671}",38.83127616625,-104.84068536249998,1.0,Colorado,El Paso,Colorado Springs,0.125
4295,8,"{178756, 100133, 210247, 210248, 92145, 44565, 44566, 202298}",25.882806125,-80.23472062500001,0.0,Florida,Miami-Dade,Miami,0.0
4296,8,"{182564, 167525, 153831, 128264, 193959, 130543, 183895, 215679}",34.63044,-86.566925,0.0,Alabama,Madison,Huntsville,0.0
4297,8,"{101382, 55791, 159475, 159476, 95703, 130937, 130938, 196636}",39.4485725,-77.386578625,0.0,Maryland,Frederick,Frederick,0.0
4298,8,"{189636, 89412, 192773, 199047, 199460, 46186, 60434, 59386}",42.17177112500001,-87.965297625,0.0,Illinois,Lake,Buffalo Grove,0.0
4299,8,"{127716, 168228, 168229, 101418, 135660, 168238, 110895, 139771}",32.2580095,-110.79905199999999,0.0,Arizona,Pima,Tucson,0.0
4300,8,"{101344, 55747, 63363, 101892, 108198, 150739, 98391, 209054}",28.330445250000004,-82.54163700000001,0.0,Florida,Pasco,Spring Hill,0.0
4301,8,"{131264, 174721, 123335, 192942, 95446, 178778, 79291, 82588}",44.8616175,-93.54749475,0.0,Minnesota,Carver,Chanhassen,0.0
4302,8,"{107649, 107750, 108455, 101512, 86217, 92795, 108668, 110206}",25.57968525,-80.478375,0.0,Florida,Miami-Dade,Miami,0.0
4303,8,"{60449, 44721, 120600, 120601, 156730, 156731, 204604, 204605}",33.26192575,-84.093665625,0.0,Georgia,Butts,Jackson,0.0
4304,8,"{191273, 58794, 192170, 131283, 111125, 207190, 136922, 55677}",42.05458,-87.84035,0.0,Illinois,Cook,Niles,0.0
4305,8,"{210088, 125129, 133227, 126796, 44749, 126773, 125655, 63639}",35.27088462500001,-80.7675725,0.0,North Carolina,Mecklenburg,Charlotte,0.0
4306,8,"{33888, 48384, 9796, 34153, 50699, 50479, 33885, 48383}",37.366857695,-121.99605185,1.0,California,Santa Clara,Santa Clara,0.125
4307,8,"{170081, 169090, 172513, 183207, 189423, 103568, 146167, 122301}",34.044559500000005,-117.396345375,0.0,California,San Bernardino,Bloomington,0.0
4308,8,"{35584, 186497, 132900, 35628, 214097, 34842, 34843, 34845}",32.850551249999995,-96.56978749999999,0.0,Texas,Dallas,Garland,0.0
4309,8,"{55649, 55365, 63686, 64426, 60908, 90444, 99404, 69552}",28.552339625,-81.37685987500001,0.0,Florida,Orange,Orlando,0.0
4310,8,"{79939, 133062, 133063, 133065, 133066, 133067, 133068, 83315}",45.516202875000005,-122.578907625,0.0,Oregon,Multnomah,Portland,0.0
4311,8,"{154434, 184293, 54703, 138321, 138322, 142644, 146741, 190900}",41.139942500000004,-95.9401,0.0,Nebraska,Sarpy,Bellevue,0.0
